/begin_header
/start_date=1930-01-01
/end_date=2017-03-15
/north_latitude=90[deg]
/south_latitude=-90[deg]
/east_longitude=180[deg]
/west_longitude=-180[deg]
! Date processed: 2017-03-15 20:28:37 GMT
! Date archived: 1998-01-01 to 2010-12-31
! Water depth: 30 to 10000
! Data source: seabass
! Exclusions:
!                                                             , SeaWiFS             
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  70 
!  Maximum satellite zenith angle                             ,                  56 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                 100 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2017-02-24 23:25:50 
! Statistics:
!  Product Name , SeaWiFS Range       , In situ Range       , #    , Best Fit Slope , Best Fit Intercept , R2      , Median Ratio , Median % Difference , RMSE    
!  chlor_a      , 0.028178 - 21.02202 , 0.028178 - 21.02202 , 1281 ,        0.88038 ,           -0.03272 , 0.79839 ,      1.02908 ,            33.97579 , 0.26660 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,seawifs_filename,seawifs_es_error,seawifs_pixel_total,seawifs_tdiff,seawifs_solz,seawifs_senz,seawifs_cv,seawifs_windspeed,seawifs_chlor_a,insitu_chlor_a_type,insitu_chlor_a
/end_header
20325,-76.85170000,174.29810000,1997-12-20 19:47:00,roaverrs97,S1997354203725.L2_MLAC.R0000021379_75S_77S_172E_174E.hdf_OCVAL_roaverrs97_20325_B5.tar,0.00000000,25,5137,58.02,27.08,0.068,13.171,1.78734700,chlor_a,3.09999990
16554,-76.50000000,169.02600000,1997-11-30 23:50:00,nbp9711,S1997334202956.L2_MLAC.R0000021150_76S_76S_168E_174E.hdf_OCVAL_nbp9711_16554_B5.tar,0.00000000,25,-9852,60.36,33.90,0.117,3.771,0.37080400,chlor_a,1.04999995
16509,-76.50000000,169.02600000,1997-11-30 23:50:00,nbp9711,S1997334202956.L2_MLAC.R0000021150_76S_76S_168E_174E.hdf_OCVAL_nbp9711_16509_B5.tar,27.90000000,25,-9852,60.36,33.90,0.117,3.771,-999,rrs,-999
16508,-76.49200000,168.73500000,1997-11-30 21:00:00,nbp9711,S1997334202956.L2_MLAC.R0000021150_76S_76S_168E_174E.hdf_OCVAL_nbp9711_16508_B5.tar,17.80000000,25,349,60.41,34.10,0.115,3.651,-999,rrs,-999
216300,-67.88594000,-68.09518000,2004-01-24 12:51:00,palmer_lter,S2004024151555.L2_MLAC.R0000021212_palmer_lter_216300.hdf_OCVAL_valtarg_B5.tar,0.00000000,25,10790,49.36,29.05,0.082,6.018,0.80454500,chlor_a,5.65500021
216116,-67.74633000,-68.13350000,2001-01-22 13:20:00,palmer_lter,S2001022133419.L2_MLAC.R0000021212_67S_67S_68W_68W.hdf_OCVAL_palmer_lter_216116_B5.tar,0.00000000,25,3011,53.88,45.25,0.042,8.231,0.70981900,chlor_a,2.22900009
21795,-67.64300000,-70.26700000,1999-01-29 14:33:00,palmer_lter,S1999029143357.L2_MLAC.R0000021212_67S_67S_70W_70W.hdf_OCVAL_palmer_lter_21795_B5.tar,0.00000000,25,2069,52.54,24.56,0.026,1.529,0.56950000,chlor_a,1.57053995
22479,-67.64300000,-70.26700000,1999-01-29 14:33:00,palmer_lter,S1999029143357.L2_MLAC.R0000021212_67S_67S_70W_70W.hdf_OCVAL_palmer_lter_22479_B5.tar,4.50000000,25,2069,52.54,24.56,0.026,1.529,-999,rrs,-999
216101,-66.11383000,-70.78600000,2001-01-18 17:00:00,palmer_lter,S2001018153821.L2_MLAC.R0000021212_65S_66S_71W_70W.hdf_OCVAL_palmer_lter_216101_B5.tar,0.00000000,25,-2854,46.17,40.70,0.043,5.205,0.34620100,chlor_a,0.64099997
