/begin_header
/start_date=1930-01-01
/end_date=2017-03-15
/north_latitude=90[deg]
/south_latitude=-90[deg]
/east_longitude=180[deg]
/west_longitude=-180[deg]
! Date processed: 2017-03-15 20:28:37 GMT
! Date archived: 1998-01-01 to 2010-12-31
! Water depth: 30 to 10000
! Data source: seabass
! Exclusions:
!                                                             , SeaWiFS             
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  70 
!  Maximum satellite zenith angle                             ,                  56 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                 100 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2017-02-24 23:25:50 
! Statistics:
!  Product Name , SeaWiFS Range       , In situ Range       , #   , Best Fit Slope , Best Fit Intercept , R2      , Median Ratio , Median % Difference , RMSE    
!  rrs412       , -0.001995 - 0.01754 , -0.001995 - 0.01754 , 656 ,        1.08223 ,           -0.00094 , 0.78867 ,      0.89933 ,            22.14044 , 0.00194 
!  rrs443       , -0.000781 - 0.01504 , -0.000781 - 0.01504 , 927 ,        1.04349 ,           -0.00042 , 0.78101 ,      0.95725 ,            17.86197 , 0.00141 
!  rrs490       , 0.000320 - 0.01711  , 0.000320 - 0.01711  , 948 ,        0.95971 ,           -0.00013 , 0.71947 ,      0.93201 ,            14.36772 , 0.00111 
!  rrs510       , 0.000639 - 0.01712  , 0.000639 - 0.01712  , 725 ,        0.91475 ,            0.00001 , 0.72071 ,      0.91307 ,            15.39727 , 0.00087 
!  rrs555       , 0.000907 - 0.01542  , 0.000907 - 0.01542  , 654 ,        0.72778 ,            0.00040 , 0.72105 ,      0.91095 ,            18.66258 , 0.00098 
!  rrs670       , -0.000347 - 0.00229 , -0.000347 - 0.00229 , 357 ,        0.71183 ,            0.00004 , 0.42649 ,      0.90273 ,            45.37599 , 0.00032 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,seawifs_filename,seawifs_es_error,seawifs_pixel_total,seawifs_tdiff,seawifs_solz,seawifs_senz,seawifs_cv,seawifs_windspeed,seawifs_rrs412,seawifs_rrs443,seawifs_rrs490,seawifs_rrs510,seawifs_rrs555,seawifs_rrs670,insitu_rrs_type,insitu_rrs412,insitu_rrs443,insitu_rrs490,insitu_rrs510,insitu_rrs555,insitu_rrs670
/end_header
20325,-76.85170000,174.29810000,1997-12-20 19:47:00,roaverrs97,S1997354203725.L2_MLAC.R0000021379_75S_77S_172E_174E.hdf_OCVAL_roaverrs97_20325_B5.tar,0.00000000,25,5137,58.02,27.08,0.068,13.171,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
16554,-76.50000000,169.02600000,1997-11-30 23:50:00,nbp9711,S1997334202956.L2_MLAC.R0000021150_76S_76S_168E_174E.hdf_OCVAL_nbp9711_16554_B5.tar,0.00000000,25,-9852,60.36,33.90,0.117,3.771,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
16509,-76.50000000,169.02600000,1997-11-30 23:50:00,nbp9711,S1997334202956.L2_MLAC.R0000021150_76S_76S_168E_174E.hdf_OCVAL_nbp9711_16509_B5.tar,27.90000000,25,-9852,60.36,33.90,0.117,3.771,0.00446700,0.00400200,0.00355100,0.00290700,0.00183400,-999,rrs,0.00367010,0.00328358,0.00298441,0.00225169,0.00129486,-999
16508,-76.49200000,168.73500000,1997-11-30 21:00:00,nbp9711,S1997334202956.L2_MLAC.R0000021150_76S_76S_168E_174E.hdf_OCVAL_nbp9711_16508_B5.tar,17.80000000,25,349,60.41,34.10,0.115,3.651,0.00355400,0.00336300,0.00290100,0.00265000,0.00179500,-999,rrs,0.00345455,0.00294158,0.00288591,0.00243918,0.00186553,-999
216300,-67.88594000,-68.09518000,2004-01-24 12:51:00,palmer_lter,S2004024151555.L2_MLAC.R0000021212_palmer_lter_216300.hdf_OCVAL_valtarg_B5.tar,0.00000000,25,10790,49.36,29.05,0.082,6.018,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
216116,-67.74633000,-68.13350000,2001-01-22 13:20:00,palmer_lter,S2001022133419.L2_MLAC.R0000021212_67S_67S_68W_68W.hdf_OCVAL_palmer_lter_216116_B5.tar,0.00000000,25,3011,53.88,45.25,0.042,8.231,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
21795,-67.64300000,-70.26700000,1999-01-29 14:33:00,palmer_lter,S1999029143357.L2_MLAC.R0000021212_67S_67S_70W_70W.hdf_OCVAL_palmer_lter_21795_B5.tar,0.00000000,25,2069,52.54,24.56,0.026,1.529,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
22479,-67.64300000,-70.26700000,1999-01-29 14:33:00,palmer_lter,S1999029143357.L2_MLAC.R0000021212_67S_67S_70W_70W.hdf_OCVAL_palmer_lter_22479_B5.tar,4.50000000,25,2069,52.54,24.56,0.026,1.529,0.00364400,0.00319200,0.00319000,0.00277700,0.00184800,-999,rrs,0.00432900,0.00342893,0.00364329,0.00313645,0.00226824,-999
216101,-66.11383000,-70.78600000,2001-01-18 17:00:00,palmer_lter,S2001018153821.L2_MLAC.R0000021212_65S_66S_71W_70W.hdf_OCVAL_palmer_lter_216101_B5.tar,0.00000000,25,-2854,46.17,40.70,0.043,5.205,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
216009,-66.11333000,-70.78207000,2000-01-16 16:30:00,palmer_lter,S2000016144722.L2_MLAC.R0000021212_palmer_lter_216009.hdf_OCVAL_valtarg_B5.tar,0.00000000,25,-4226,47.56,23.25,0.025,8.480,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
216614,-66.04967000,-70.92917000,2001-01-18 14:58:00,palmer_lter,S2001018135928.L2_MLAC.R0000021212_65S_66S_71W_70W.hdf_OCVAL_palmer_lter_216614_B5.tar,0.00000000,25,-1408,50.86,44.73,0.059,4.790,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
216153,-66.00383000,-67.97050000,2002-01-15 11:28:00,palmer_lter,S2002015133154.L2_MLAC.R0000021212_65S_66S_68W_67W.hdf_OCVAL_palmer_lter_216153_B5.tar,0.00000000,25,9542,51.29,52.11,0.036,4.166,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
216613,-65.98083000,-71.08050000,2001-01-18 13:53:00,palmer_lter,S2001018135928.L2_MLAC.R0000021212_65S_66S_71W_70W.hdf_OCVAL_palmer_lter_216613_B5.tar,0.00000000,25,2491,50.86,45.20,0.032,4.666,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
216281,-65.97633000,-66.35817000,2004-01-17 18:30:00,palmer_lter,S2004017152637.L2_MLAC.R0000021212_65S_65S_66W_66W.hdf_OCVAL_palmer_lter_216281_B5.tar,0.00000000,25,-8972,45.55,35.46,0.035,3.224,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
216612,-65.91483000,-71.23150000,2001-01-18 12:50:00,palmer_lter,S2001018135928.L2_MLAC.R0000021212_65S_66S_71W_70W.hdf_OCVAL_palmer_lter_216612_B5.tar,0.00000000,25,6271,50.86,45.67,0.033,4.578,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
21695,-64.78800000,-64.12600000,1997-12-26 14:31:00,palmer_lter,S1997360151247.L2_MLAC.R0000021212_64S_64S_64W_64W.hdf_OCVAL_palmer_lter_21695_B5.tar,0.00000000,25,4353,41.81,36.22,0.129,3.662,-999,-999,-999,-999,-999,-999,chlor_a,-999,-999,-999,-999,-999,-999
